id,age,habitationStatus,addresses/principalResidence/municipality,addresses/principalResidence/latitude,addresses/principalResidence/longitude,workActivity,totalIncome
4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,53,With Spouse,Toronto,43.66955839,-79.38465688,parttime,18566.75
90f54a9f-9112-451b-b2f9-e5de6b16e0b0,39,With Spouse,Scarborough,43.76621534,-79.31392252,fulltime,28742
21821034-8ad8-4c00-bfd4-b74e694066ba,57,With Spouse,North York,43.75769434,-79.50981397,parttime,30983.3
cad31095-cae1-49f4-bea8-78c42e2d92b7,36,With Spouse,Toronto,43.64790581,-79.43728546,fulltime,35061
ce16ef42-a4e8-41e0-8f45-1ccf3079b659,17,With Parent,East York,43.69619886,-79.32315764,unemployed,0
24a794a3-ea5b-4245-bd7a-eb8466f4eb7d,37,With Spouse,Etobicoke,43.75580508,-79.5954833,fulltime,41919
f2d298fd-8c7c-4c10-83a4-967328686cc0,17,With Parent,Toronto,43.7288538,-79.40791201,unemployed,0
0197dacf-35ce-4060-9be5-3d030b1eeb8d,26,With Parent,North York,43.78574787,-79.36939634,parttime,7890.96
8f5b8262-ff6c-47a3-9b9e-387c829e3403,56,With Spouse,Toronto,43.7349962,-79.40513065,fulltime,86305.2
906fe9e0-ab82-4a4a-b60f-0cbf298b098d,35,With Spouse,Etobicoke,43.609329,-79.48859097,fulltime,31019
c3c6f89e-0920-41c7-b585-c7018042ffd1,56,With Spouse,North York,43.76897601,-79.38309718,parttime,29622.85
5f16d1ba-21fc-4651-a6b0-2779acf1b3b4,54,With Spouse,Etobicoke,43.62913445,-79.5787506,fulltime,41359.75
21bbfcfa-255d-44d0-a910-5f259c47af6d,36,With Spouse,North York,43.73920215,-79.51814342,unemployed,0
ef3aef2a-46a9-41fd-9331-bb28a42fe666,35,With Spouse,Toronto,43.67393849,-79.39070546,fulltime,53468
05c500f2-8444-4223-82a5-3fb131cea332,21,With Parent,East York,43.68918114,-79.35381445,parttime,4237.53
06440fd0-f424-444a-93e2-706aab216dfe,58,With Spouse,Toronto,43.64186712,-79.41435689,fulltime,48942.85
25ff9964-1aa9-4b42-b25b-926a9360f129,42,With Spouse,North York,43.76159398,-79.32540302,fulltime,36595.9
6d3e56d3-e2aa-4c68-8697-27257d8ab10e,33,With Parent,North York,43.72228135,-79.30334869,fulltime,39961
b03efa92-c68e-403a-ae76-26dea3f27313,35,With Spouse,Etobicoke,43.59714523,-79.50281981,fulltime,48257
7b3f0db2-46ad-4be0-b67b-f1dd7f9c6f01,23,With Parent,North York,43.7279455,-79.4168317,parttime,13575.21
30ddb4f8-3e7c-4eba-bca2-9721e47119a8,58,With Spouse,Scarborough,43.77693041,-79.1696452,unemployed,0
