id,age,habitationStatus,addresses/principalResidence/municipality,addresses/principalResidence/latitude,addresses/principalResidence/longitude,workActivity,totalIncome
cd260aa2-f1c2-4262-8d5a-669691053038,23,With Parent,Etobicoke,43.64667729,-79.55925062,parttime,10091.4
95c36b3b-c5a9-4fea-9140-d70ecfe8a3d2,22,With Parent,York,43.69641833,-79.47555604,parttime,11833.14
af0b2738-038e-448e-9093-49356542e06a,30,With Parent,Toronto,43.66154227,-79.36405271,parttime,12969.99
aaa76abd-f8e9-4f93-9d61-7ba08b2366f7,85,Group,York,43.66938618,-79.48933483,unemployed,50165.5
81da3737-971d-4ed8-a2ee-94b934261266,30,With Parent,Toronto,43.65483797,-79.38558022,fulltime,24267.54
2015c281-e874-4b88-a81e-efea19bbd437,19,With Parent,North York,43.72605898,-79.30474201,unemployed,0
858f1a64-bb1c-4709-989d-578a32d82e29,41,With Parent,Scarborough,43.8262895,-79.28785676,fulltime,29372
656610e9-9ab9-4f8d-a492-872e0c950833,34,With Parent,North York,43.75212788,-79.43990758,fulltime,42964
4657e91c-a90c-46f6-9e8b-e7e9322aa41c,57,Group,Toronto,43.67919255,-79.46325337,fulltime,42712.15
6ed2e5c3-bf04-4c01-89e4-8c6f7672a70a,33,Group,North York,43.76034738,-79.41094858,fulltime,62038
6295fed1-d412-49eb-93a3-9ca031632840,30,Group,Etobicoke,43.63770842,-79.49353779,fulltime,22562.76
64b0c7d0-ebef-40e0-8d86-f8c681c95c7b,20,With Parent,Scarborough,43.7400481,-79.27395877,parttime,10796.94
72da45bc-6a77-4f2c-aa61-a7c52790bc11,29,Group,North York,43.70640268,-79.44657787,fulltime,20321.07
810098e1-03ba-462f-a31f-6624e8fd7d11,47,Group,North York,43.78061103,-79.40412837,fulltime,40353.5
7240ec73-795e-4181-8ad8-d16461b0e946,24,Group,Scarborough,43.80205988,-79.14501241,parttime,18188.61
ed627e35-1194-4db5-a6e2-f5a0e89852e9,18,With Parent,Etobicoke,43.63750055,-79.51059729,unemployed,0
cc9c808f-2483-4ac0-8182-becba5831e3a,32,With Parent,Etobicoke,43.64016908,-79.54558629,unemployed,0
c8f99b7e-7c72-4ece-bbad-3db63cbccdfb,42,Group,Toronto,43.67031647,-79.48207725,fulltime,71309.7
dcef715b-4a04-428d-b497-cbb5239123a7,32,Group,North York,43.76582039,-79.38614841,fulltime,81731
03c47460-b23e-407a-8628-04c125602636,17,With Parent,Toronto,43.63657933,-79.47093754,unemployed,0
068405d4-a84d-4866-9126-0a747030b37c,19,With Parent,Toronto,43.64724304,-79.40775183,unemployed,0
34058b1c-9db5-4eb6-8f94-4605effd5fda,64,With Parent,Toronto,43.67257603,-79.41339357,fulltime,53366.25
c367465d-86c2-46d3-89a8-93545a09f08c,18,With Parent,Toronto,43.67547654,-79.43014312,unemployed,0
41ebf205-5ace-45b8-8322-7f0b2bcffe87,32,With Parent,Toronto,43.7310208,-79.404151,fulltime,108689
a6b0d4ad-2989-49b8-b597-7755ffa5c1f7,27,With Parent,York,43.66514554,-79.49173526,parttime,13123.11
d51555d5-d637-47d6-9a09-b17580eefaa6,60,Group,Toronto,43.67958214,-79.30500862,fulltime,93365.05
bd5f6e2f-a918-4edf-a43e-c11ea617a373,15,With Parent,North York,43.72330019,-79.52093413,unemployed,0
f2577e82-68b5-447d-babe-80adad8cc344,50,Group,Scarborough,43.79857406,-79.30512678,fulltime,68995.3
64dd431b-5749-4874-8b15-291ae2be25f8,53,With Parent,York,43.69159129,-79.43788307,fulltime,47776.75
418d52c8-c84c-42bf-8741-21b4b84ef02a,26,With Parent,Scarborough,43.80019722,-79.1393031,fulltime,26542.56
b77d98b6-0dce-484b-8d99-736285033249,20,With Parent,Toronto,43.64284145,-79.43781365,parttime,8930.79
fcedcfc6-5ce9-43b8-9659-1f312df562d8,17,With Parent,Scarborough,43.75651513,-79.21433952,unemployed,0
46e39bdd-1645-4162-9b56-af97c591747c,22,With Parent,North York,43.75335063,-79.39016354,parttime,19330.41
571f570b-a8d3-450b-9dd0-e7da884de151,75,Group,Toronto,43.6729855,-79.3304014,unemployed,37412.9
4ab0aee3-74e0-48b4-a78b-c34dc29c4d57,24,With Parent,Etobicoke,43.66087836,-79.57301545,parttime,14258.31
