,id,age,habitationStatus,addresses/principalResidence/municipality,addresses/principalResidence/latitude,addresses/principalResidence/longitude,workActivity,totalIncome,Food and Dining,Income,Entertainment,Transfer,Shopping,Bills and Utilities,Auto and Transport,Home,Taxes,Health and Fitness,Fees and Charges,Mortgage and Rent,Travel,spending
0,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,53,With Spouse,Toronto,43.66955839,-79.38465688,parttime,18566.75,148,16,6,35,130,13,14,8,1,0,0,0,0,12777.91
1,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,39,With Spouse,Scarborough,43.76621534,-79.31392252,fulltime,28742,150,16,7,22,148,34,24,8,5,0,0,0,0,16277.82
2,21821034-8ad8-4c00-bfd4-b74e694066ba,57,With Spouse,North York,43.75769434,-79.50981397,parttime,30983.3,140,16,7,14,6,27,18,8,6,0,0,0,0,25394.83
3,cad31095-cae1-49f4-bea8-78c42e2d92b7,36,With Spouse,Toronto,43.64790581,-79.43728546,fulltime,35061,142,15,7,22,18,6,25,9,0,0,0,7,0,35278.75
4,ce16ef42-a4e8-41e0-8f45-1ccf3079b659,17,With Parent,East York,43.69619886,-79.32315764,unemployed,0,104,1,0,30,8,0,0,0,0,0,0,0,0,125.87
5,24a794a3-ea5b-4245-bd7a-eb8466f4eb7d,37,With Spouse,Etobicoke,43.75580508,-79.5954833,fulltime,41919,150,15,8,21,17,26,14,10,1,0,0,0,0,41566.79
6,f2d298fd-8c7c-4c10-83a4-967328686cc0,17,With Parent,Toronto,43.7288538,-79.40791201,unemployed,0,100,1,0,29,8,0,0,0,1,0,0,0,0,106.07
7,0197dacf-35ce-4060-9be5-3d030b1eeb8d,26,With Parent,North York,43.78574787,-79.36939634,parttime,7890.96,121,16,0,43,12,0,0,0,1,0,0,0,0,9083.23
8,8f5b8262-ff6c-47a3-9b9e-387c829e3403,56,With Spouse,Toronto,43.7349962,-79.40513065,fulltime,86305.2,148,16,6,36,7,13,21,11,0,0,7,0,0,91588.78
9,906fe9e0-ab82-4a4a-b60f-0cbf298b098d,35,With Spouse,Etobicoke,43.609329,-79.48859097,fulltime,31019,150,15,7,16,12,19,15,9,0,0,0,7,0,31789.18
10,c3c6f89e-0920-41c7-b585-c7018042ffd1,56,With Spouse,North York,43.76897601,-79.38309718,parttime,29622.85,141,15,6,16,8,12,20,10,0,0,0,0,0,30525.62
11,5f16d1ba-21fc-4651-a6b0-2779acf1b3b4,54,With Spouse,Etobicoke,43.62913445,-79.5787506,fulltime,41359.75,143,16,7,22,143,32,19,10,5,0,7,0,0,38613.43
12,21bbfcfa-255d-44d0-a910-5f259c47af6d,36,With Spouse,North York,43.73920215,-79.51814342,unemployed,0,120,0,0,0,14,0,0,0,0,0,6,0,0,2739.728248
13,ef3aef2a-46a9-41fd-9331-bb28a42fe666,35,With Spouse,Toronto,43.67393849,-79.39070546,fulltime,53468,159,15,5,15,13,6,20,10,1,0,0,0,0,57087.93
14,05c500f2-8444-4223-82a5-3fb131cea332,21,With Parent,East York,43.68918114,-79.35381445,parttime,4237.53,114,16,0,32,13,0,0,0,0,0,0,0,0,5416.99
15,06440fd0-f424-444a-93e2-706aab216dfe,58,With Spouse,Toronto,43.64186712,-79.41435689,fulltime,48942.85,148,15,8,16,7,20,19,10,0,0,0,7,0,52088.68
16,25ff9964-1aa9-4b42-b25b-926a9360f129,42,With Spouse,North York,43.76159398,-79.32540302,fulltime,36595.9,142,15,5,16,9,7,26,9,0,0,0,0,0,37441.01
17,6d3e56d3-e2aa-4c68-8697-27257d8ab10e,33,With Parent,North York,43.72228135,-79.30334869,fulltime,39961,121,15,0,46,13,0,0,0,0,0,0,0,0,46225.08
18,b03efa92-c68e-403a-ae76-26dea3f27313,35,With Spouse,Etobicoke,43.59714523,-79.50281981,fulltime,48257,141,15,7,22,23,0,20,8,1,0,0,7,0,39550.5
19,7b3f0db2-46ad-4be0-b67b-f1dd7f9c6f01,23,With Parent,North York,43.7279455,-79.4168317,parttime,13575.21,113,17,0,43,12,0,0,0,0,0,0,0,0,15662.16
20,30ddb4f8-3e7c-4eba-bca2-9721e47119a8,58,With Spouse,Scarborough,43.77693041,-79.1696452,unemployed,0,112,0,0,0,6,0,0,0,0,0,6,0,0,2486.014716
21,301048c3-314f-41b3-bd6d-04def4ab4e86,36,With Spouse,Scarborough,43.76621534,-79.31392252,fulltime,30470,155,15,7,36,19,6,19,8,1,0,0,0,0,19126.96
22,6a795a6a-bd80-4335-856d-b3439e08f3e7,62,With Spouse,Toronto,43.7349962,-79.40513065,fulltime,71309.85,144,15,6,23,8,12,14,8,5,12,0,0,1,76038.31
23,6456e336-1975-4380-9956-bd2576e00df4,53,With Spouse,Toronto,43.67063782,-79.3959209,fulltime,59415.9,140,16,3,45,144,13,19,9,0,15,0,0,0,62261.17
24,decbd4aa-e1d9-4bc4-ae1a-ebee2c435a59,53,With Spouse,North York,43.7120067,-79.48080272,fulltime,45473.3,148,15,6,44,146,19,23,10,1,0,0,0,0,44350.3
25,98e4b2ba-75fe-4794-aa75-83a4ef25b56a,26,With Parent,Etobicoke,43.73026966,-79.62498455,parttime,11235.18,112,17,0,43,12,0,0,0,0,0,0,0,0,12659.42
26,f7ff4d9d-f9bf-420c-9b70-16f635818bf6,56,With Spouse,Toronto,43.67804442,-79.44630149,fulltime,94478.25,142,15,6,74,140,24,15,9,0,0,0,0,0,100712.69
27,abea2e58-13aa-4f74-8816-4da6960fe2bf,28,With Parent,Scarborough,43.81820805,-79.2077985,parttime,11120.01,118,15,0,45,14,0,0,0,0,0,0,0,0,12846.41
28,a066087f-ac78-401a-bd1f-d77f8f3a2807,55,With Spouse,Toronto,43.64739099,-79.39393318,fulltime,79245.35,143,16,7,15,7,7,18,13,0,14,0,7,0,86143.51
29,d7baa64e-5143-4b1a-ab36-fd216c5140b7,51,With Spouse,North York,43.71536664,-79.50570208,fulltime,61584.8,142,16,6,15,14,12,17,7,0,0,0,0,0,65589.5
30,c65b9951-2284-44d2-b13f-561c4966dcce,35,With Spouse,Scarborough,43.76639877,-79.20629716,unemployed,78025,155,16,7,29,13,27,25,11,5,0,0,0,0,68679.05
31,7254abde-a6df-4384-8e5f-0282a32a1dc2,35,With Spouse,North York,43.78586037,-79.39106244,fulltime,91032,146,16,7,44,26,32,14,10,1,0,0,0,0,96755.73
32,1f49f93f-00ec-40a2-904e-9ece90c62c23,51,With Spouse,East York,43.69619886,-79.32315764,fulltime,67064.8,146,15,6,88,150,47,16,10,5,0,0,0,0,44465.74
33,62dbbe72-3579-4910-b3db-55a7046cade5,54,With Spouse,Etobicoke,43.65193531,-79.56812821,parttime,25398.9,142,15,6,15,6,13,15,7,1,0,0,7,0,26393.69
34,e81ac416-e5ca-41c3-a961-6b3fc91894bc,52,With Spouse,North York,43.79162049,-79.33969411,fulltime,40273,137,15,6,21,144,34,17,11,2,13,0,0,0,30501.04
35,cbac9bad-1644-4f37-90e8-c950caabcb21,35,With Spouse,Scarborough,43.69275131,-79.26100728,fulltime,48948,143,15,6,16,21,18,21,11,0,0,0,0,0,50590.55
36,389f3589-2446-461c-aff8-afa394e911d7,54,With Spouse,Toronto,43.67008865,-79.40549896,fulltime,35820.2,138,15,5,74,7,7,16,7,0,14,0,0,0,34779.79
37,689c5bff-a8e4-4412-afb8-b00a13b04687,53,With Spouse,Toronto,43.67653164,-79.3109225,fulltime,125385.65,145,16,8,29,7,33,13,13,5,0,0,0,0,125878.49
38,4a257d66-0f97-430e-96eb-5fbec3aab676,30,With Parent,Toronto,43.68093361,-79.31756436,parttime,9657.12,113,15,0,45,13,0,0,0,0,0,0,0,0,10083.28
39,0f202a30-b31a-43b1-9911-6b28025e2a08,36,With Spouse,Toronto,43.70250499,-79.38430736,fulltime,87981,149,15,7,37,13,0,15,10,0,0,0,0,0,84967.54
40,012c8e83-d535-43bc-9915-df0163ece210,27,With Parent,North York,43.7861419,-79.36251793,parttime,8236.47,122,16,0,44,12,0,0,0,1,0,0,0,0,9807.61
41,0ec61b41-9bde-4a56-85c3-d79099466191,56,With Spouse,North York,43.79355277,-79.33216383,parttime,32223,148,15,7,21,136,33,23,8,7,0,0,0,0,24453.54
42,c864085f-d9fa-4d8e-9fcf-ee5a2e04ca2f,48,With Spouse,Etobicoke,43.59129363,-79.5323402,parttime,21642.5,143,16,5,15,17,13,13,8,0,11,0,0,0,19822.45
43,59e34963-4c34-40b6-8424-90a06e0d4202,19,With Parent,Toronto,43.64683295,-79.37521636,unemployed,0,112,1,0,29,9,0,0,0,1,0,0,0,0,119.07
44,3c2e1a07-2f77-46aa-8600-6688697c2de9,40,With Spouse,Toronto,43.6462357,-79.3763487,fulltime,32052,136,15,6,22,8,19,20,10,6,0,7,0,0,29842.57
45,831e0f80-cf85-46ca-a0e1-5e2d52bdbef1,36,With Spouse,York,43.70496607,-79.52037759,fulltime,44935,151,16,5,22,12,6,18,8,0,0,0,0,0,48344.46
46,0592505b-919f-4abd-9d51-5d9128af98aa,16,With Parent,Scarborough,43.76074871,-79.21711293,unemployed,0,104,0,0,31,10,0,0,0,0,0,0,0,0,35.22
47,d4fbf0a3-2f6f-483b-be01-24b51bb8aba9,59,With Spouse,North York,43.73782478,-79.48634279,fulltime,43997.85,151,15,7,16,9,13,27,7,0,0,0,0,0,46377.46
48,d56e9472-7528-4a81-a0c2-19d01475eeb9,61,With Spouse,North York,43.74294062,-79.50096109,parttime,17799.7,144,16,7,22,13,31,15,8,5,0,7,0,0,14115.68
49,e416fe02-fc8a-4e84-9324-807111e58fa1,17,With Parent,North York,43.79197893,-79.42010101,unemployed,0,107,2,0,29,10,0,0,0,0,0,0,0,0,192.12
50,1bc31769-e8bc-4e58-b25f-919fcb1ce4a3,55,With Spouse,Toronto,43.67798387,-79.42626135,fulltime,72331.55,149,16,7,36,5,0,12,9,0,0,0,0,0,71934.3
51,25a8d9f9-89ce-448a-8da9-572c713412f6,20,With Parent,North York,43.72053763,-79.5031608,unemployed,0,111,1,0,30,12,0,0,0,0,0,0,0,0,170.28
52,e1c4f22f-238d-4ca4-b5dc-e04fcd5e0b41,31,With Parent,York,43.68681648,-79.46346677,parttime,7499.58,118,16,0,44,12,0,0,0,0,0,0,0,0,8396.39
53,c66e5861-6049-4aa8-aa21-e309706db48e,52,With Spouse,Toronto,43.67798387,-79.42626135,fulltime,54749.2,146,17,6,21,8,28,26,12,5,0,0,0,0,53000.49
54,f40ebce2-5840-4583-a999-be5ce221e7c1,53,With Spouse,North York,43.75769434,-79.50981397,fulltime,35255.55,141,15,7,29,6,0,26,7,1,0,0,0,0,28448.05
