,id,age,habitationStatus,addresses/principalResidence/municipality,addresses/principalResidence/latitude,addresses/principalResidence/longitude,workActivity,totalIncome,Food and Dining,Income,Entertainment,Transfer,Shopping,Bills and Utilities,Auto and Transport,Home,Taxes,Health and Fitness,Fees and Charges,Mortgage and Rent,Travel,spending
0,4806f34e-93a6-4e2f-9e41-5ee9f0d24f14,53,With Spouse,Toronto,43.66955839,-79.38465688,parttime,18566.75,148.0,16.0,6.0,35.0,130.0,13.0,14.0,8.0,1.0,0.0,0.0,0.0,0.0,12777.909999999996
1,90f54a9f-9112-451b-b2f9-e5de6b16e0b0,39,With Spouse,Scarborough,43.76621534,-79.31392252,fulltime,28742.0,150.0,16.0,7.0,22.0,148.0,34.0,24.0,8.0,5.0,0.0,0.0,0.0,0.0,16277.819999999996
2,21821034-8ad8-4c00-bfd4-b74e694066ba,57,With Spouse,North York,43.75769434,-79.50981397,parttime,30983.3,140.0,16.0,7.0,14.0,6.0,27.0,18.0,8.0,6.0,0.0,0.0,0.0,0.0,25394.830000000016
3,cad31095-cae1-49f4-bea8-78c42e2d92b7,36,With Spouse,Toronto,43.64790581,-79.43728546,fulltime,35061.0,142.0,15.0,7.0,22.0,18.0,6.0,25.0,9.0,0.0,0.0,0.0,7.0,0.0,35278.74999999999
4,ce16ef42-a4e8-41e0-8f45-1ccf3079b659,17,With Parent,East York,43.69619886,-79.32315764,unemployed,0.0,104.0,1.0,0.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.87
5,24a794a3-ea5b-4245-bd7a-eb8466f4eb7d,37,With Spouse,Etobicoke,43.75580508,-79.5954833,fulltime,41919.0,150.0,15.0,8.0,21.0,17.0,26.0,14.0,10.0,1.0,0.0,0.0,0.0,0.0,41566.78999999996
6,f2d298fd-8c7c-4c10-83a4-967328686cc0,17,With Parent,Toronto,43.728853799999996,-79.40791201,unemployed,0.0,100.0,1.0,0.0,29.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,106.07000000000005
7,0197dacf-35ce-4060-9be5-3d030b1eeb8d,26,With Parent,North York,43.78574787,-79.36939634,parttime,7890.96,121.0,16.0,0.0,43.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9083.23
8,8f5b8262-ff6c-47a3-9b9e-387c829e3403,56,With Spouse,Toronto,43.734996200000005,-79.40513065,fulltime,86305.2,148.0,16.0,6.0,36.0,7.0,13.0,21.0,11.0,0.0,0.0,7.0,0.0,0.0,91588.77999999997
9,906fe9e0-ab82-4a4a-b60f-0cbf298b098d,35,With Spouse,Etobicoke,43.609328999999995,-79.48859097,fulltime,31019.0,150.0,15.0,7.0,16.0,12.0,19.0,15.0,9.0,0.0,0.0,0.0,7.0,0.0,31789.179999999993
10,c3c6f89e-0920-41c7-b585-c7018042ffd1,56,With Spouse,North York,43.76897601,-79.38309718,parttime,29622.85,141.0,15.0,6.0,16.0,8.0,12.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,30525.619999999995
11,5f16d1ba-21fc-4651-a6b0-2779acf1b3b4,54,With Spouse,Etobicoke,43.62913445,-79.57875059999999,fulltime,41359.75,143.0,16.0,7.0,22.0,143.0,32.0,19.0,10.0,5.0,0.0,7.0,0.0,0.0,38613.43000000001
12,21bbfcfa-255d-44d0-a910-5f259c47af6d,36,With Spouse,North York,43.73920215,-79.51814342,unemployed,0.0,120.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2739.728247662991
13,ef3aef2a-46a9-41fd-9331-bb28a42fe666,35,With Spouse,Toronto,43.67393849,-79.39070546,fulltime,53468.0,159.0,15.0,5.0,15.0,13.0,6.0,20.0,10.0,1.0,0.0,0.0,0.0,0.0,57087.929999999986
14,05c500f2-8444-4223-82a5-3fb131cea332,21,With Parent,East York,43.68918114,-79.35381445,parttime,4237.53,114.0,16.0,0.0,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5416.990000000001
15,06440fd0-f424-444a-93e2-706aab216dfe,58,With Spouse,Toronto,43.64186712,-79.41435689,fulltime,48942.85,148.0,15.0,8.0,16.0,7.0,20.0,19.0,10.0,0.0,0.0,0.0,7.0,0.0,52088.679999999986
