,Unnamed: 0,id,age,habitationStatus,addresses/principalResidence/municipality,addresses/principalResidence/latitude,addresses/principalResidence/longitude,workActivity,totalIncome,Food and Dining,Income,Entertainment,Transfer,Shopping,Bills and Utilities,Auto and Transport,Home,Taxes,Health and Fitness,Fees and Charges,Mortgage and Rent,Travel,spending
0,0,cd260aa2-f1c2-4262-8d5a-669691053038,23,With Parent,Etobicoke,43.64667729,-79.55925062,parttime,10091.4,111,17,0,43,12,0,0,0,0,0,0,0,0,11798.55
1,1,95c36b3b-c5a9-4fea-9140-d70ecfe8a3d2,22,With Parent,York,43.69641833,-79.47555604,parttime,11833.14,107,15,0,45,14,0,0,0,0,0,0,0,0,14787.68
2,2,af0b2738-038e-448e-9093-49356542e06a,30,With Parent,Toronto,43.66154227,-79.36405271,parttime,12969.99,153,15,6,74,14,19,20,9,0,0,0,7,0,10616.47
3,3,aaa76abd-f8e9-4f93-9d61-7ba08b2366f7,85,Group,York,43.66938618,-79.48933483,unemployed,50165.5,145,30,7,60,4,39,19,9,5,7,0,0,0,33411.73
4,4,81da3737-971d-4ed8-a2ee-94b934261266,30,With Parent,Toronto,43.65483797,-79.38558022,fulltime,24267.54,143,17,4,72,11,25,17,9,0,0,0,7,0,24345.44
5,5,2015c281-e874-4b88-a81e-efea19bbd437,19,With Parent,North York,43.72605898,-79.30474201,unemployed,0,107,2,0,29,11,0,0,0,0,0,0,0,0,77.3
6,6,858f1a64-bb1c-4709-989d-578a32d82e29,41,With Parent,Scarborough,43.8262895,-79.28785676,fulltime,29372,116,15,0,44,9,0,0,0,1,0,0,0,0,33130.6
7,7,656610e9-9ab9-4f8d-a492-872e0c950833,34,With Parent,North York,43.75212788,-79.43990758,fulltime,42964,117,15,0,44,13,0,0,0,1,0,0,0,0,49640.57
8,8,4657e91c-a90c-46f6-9e8b-e7e9322aa41c,57,Group,Toronto,43.67919255,-79.46325337,fulltime,42712.15,143,15,6,59,12,39,18,9,5,0,0,0,0,23335.82
9,9,6ed2e5c3-bf04-4c01-89e4-8c6f7672a70a,33,Group,North York,43.76034738,-79.41094858,fulltime,62038,143,16,6,44,140,25,17,9,1,0,0,0,0,64154.75
